room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7691790,2021640,Entire home/apt,Manhattan,Upper East Side,,,,,169.0,2.0,40.767105,-73.955717,2015-09-10 15:43:51.859008
4941803,140555,Entire home/apt,Queens,Astoria,,,,,260.0,1.0,40.759302,-73.913408,2015-09-10 02:58:38.962058
4941812,25468672,Private room,Brooklyn,Prospect-Lefferts Gardens,,,,,45.0,15.0,40.657386,-73.954449,2015-09-10 02:58:38.962058
2374442,12116974,Private room,Bronx,Woodlawn,60.0,4.5,,,70.0,1.0,40.89794,-73.862579,2015-09-10 02:58:38.962058
4340161,22531687,Entire home/apt,Manhattan,Lower East Side,51.0,4.5,,,239.0,1.0,40.721468,-73.988829,2015-09-10 02:58:38.962058
7973928,21850707,Private room,Brooklyn,East Flatbush,,5.0,,,39.0,1.0,40.658427,-73.920599,2015-09-10 04:01:14.589722
8162587,43082153,Entire home/apt,Manhattan,Midtown,,5.0,,,125.0,1.0,40.752488,-73.968656,2015-09-10 12:43:27.544903
5401148,27998261,Entire home/apt,Manhattan,Chelsea,3.0,5.0,,,205.0,3.0,40.747422,-73.996168,2015-09-10 02:58:38.962058
4758063,4736508,Private room,Brooklyn,Williamsburg,,5.0,,,60.0,1.0,40.712888,-73.951363,2015-09-10 02:58:38.962058
8213227,43298076,Private room,Manhattan,Morningside Heights,,,,,129.0,3.0,40.809257,-73.961987,2015-09-10 10:46:12.430866
2087889,223724,Entire home/apt,Manhattan,SoHo,7.0,4.5,,,200.0,2.0,40.724734,-74.003289,2015-09-10 02:58:38.962058
1976113,4175129,Private room,Brooklyn,Bedford-Stuyvesant,15.0,4.5,,,55.0,1.0,40.6921,-73.945776,2015-09-10 02:58:38.962058
2079253,226697,Entire home/apt,Manhattan,East Village,38.0,4.5,,,160.0,2.0,40.727402,-73.979062,2015-09-10 02:58:38.962058
5313584,1747467,Private room,Brooklyn,Crown Heights,,,,,50.0,1.0,40.674637,-73.957346,2015-09-10 02:58:38.962058
7143587,37410263,Entire home/apt,Manhattan,SoHo,,3.0,,,260.0,10.0,40.721787,-73.998286,2015-09-10 02:58:38.962058
7344066,6573741,Entire home/apt,Manhattan,West Village,,5.0,,,180.0,1.0,40.732223,-74.002872,2015-09-10 02:58:38.962058
2506158,10172139,Entire home/apt,Manhattan,Harlem,47.0,5.0,,,120.0,2.0,40.822675,-73.946521,2015-09-10 02:58:38.962058
7958390,22734151,Entire home/apt,Queens,Elmhurst,,5.0,,,198.0,1.0,40.734828,-73.885579,2015-09-10 14:16:34.502620
5132986,2086194,Private room,Brooklyn,Prospect Heights,3.0,5.0,,,55.0,2.0,40.681631,-73.967089,2015-09-10 02:58:38.962058
4998221,25774748,Shared room,Queens,Flushing,,5.0,,,85.0,1.0,40.764348,-73.832107,2015-09-10 17:37:07.267371
3167520,16066072,Entire home/apt,Manhattan,Kips Bay,24.0,5.0,,,165.0,1.0,40.740984,-73.976617,2015-09-10 02:58:38.962058
1470969,7875402,Private room,Manhattan,Harlem,51.0,4.5,,,55.0,1.0,40.81928,-73.954924,2015-09-10 02:58:38.962058
292927,1516252,Entire home/apt,Brooklyn,Williamsburg,,,,,450.0,3.0,40.711117,-73.961946,2015-09-10 02:58:38.962058
4488269,23285136,Entire home/apt,Manhattan,East Harlem,,5.0,,,125.0,14.0,40.799549,-73.939341,2015-09-10 02:58:38.962058
342655,1738757,Entire home/apt,Manhattan,East Harlem,7.0,4.0,,,1800.0,364.0,40.792541,-73.938602,2015-09-10 02:58:38.962058
