room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,707.0,1.0,40.762099,-73.996022,2015-02-28 06:49:42.597
2515,2758,Private room,Manhattan,Harlem,109,4.5,2,1.0,76.0,2.0,40.799205,-73.953676,2015-02-28 16:54:00.639
2595,2845,Entire home/apt,Manhattan,Midtown,14,5.0,2,0.0,321.0,1.0,40.753621,-73.983774,2015-02-28 00:32:24.814
2684,2965,Private room,Manhattan,Upper West Side,4,5.0,2,1.0,167.0,1.0,40.792353,-73.967807,2015-02-28 08:37:54.211
3330,4177,Private room,Brooklyn,Williamsburg,12,4.5,2,1.0,141.0,3.0,40.708558,-73.942362,2015-02-27 21:32:49.703
3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,47,4.5,3,,115.0,1.0,40.6783,-73.944627,2015-02-28 06:37:00.370
3831,4869,Private room,Brooklyn,Clinton Hill,6,4.5,3,1.0,129.0,1.0,40.685138,-73.959757,2015-02-28 20:15:31.157
4573,5871,Entire home/apt,Brooklyn,Crown Heights,5,5.0,6,2.0,232.0,3.0,40.674376,-73.93399,2015-02-28 17:48:24.681
4611,5926,Private room,Manhattan,Harlem,65,4.5,1,1.0,71.0,3.0,40.824861,-73.949982,2015-02-27 21:37:52.541
4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3,1.0,257.0,2.0,40.7626,-73.993045,2015-02-28 08:43:38.548
5044,7222,Entire home/apt,Manhattan,East Village,33,5.0,4,1.0,225.0,3.0,40.726353,-73.989371,2015-02-28 14:00:27.702
5099,7322,Entire home/apt,Manhattan,Murray Hill,42,4.5,2,1.0,257.0,3.0,40.747714,-73.975149,2015-02-28 19:09:13.856
5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2,1.0,221.0,3.0,40.713942,-73.981839,2015-02-28 20:10:25.611
5135,7380,Private room,Manhattan,Harlem,219,5.0,4,1.0,114.0,1.0,40.818028,-73.947449,2015-02-27 22:44:29.774
5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,319.0,4.0,40.661197,-73.994227,2015-02-27 22:49:55.609
5172,7386,Entire home/apt,Manhattan,Murray Hill,41,4.5,2,1.0,165.0,5.0,40.744958,-73.974201,2015-02-28 02:04:54.009
5178,8967,Private room,Manhattan,Midtown,214,4.5,2,1.0,94.0,1.0,40.764681,-73.983154,2015-02-28 02:36:07.540
5203,7490,Private room,Manhattan,Upper West Side,99,5.0,1,1.0,102.0,2.0,40.801779,-73.967229,2015-02-28 04:49:51.056
5216,7510,Entire home/apt,Manhattan,Flatiron District,28,4.0,4,,245.0,2.0,40.743572,-73.989987,2015-02-28 06:00:13.638
5238,7549,Entire home/apt,Manhattan,Chinatown,96,4.5,3,1.0,180.0,1.0,40.713444,-73.990375,2015-02-28 08:04:15.102
5258,7611,Entire home/apt,Brooklyn,Williamsburg,46,5.0,2,1.0,174.0,2.0,40.710302,-73.964961,2015-02-28 09:55:47.382
5270,7626,Entire home/apt,Manhattan,Lower East Side,133,4.5,3,1.0,129.0,2.0,40.717605,-73.986643,2015-02-28 11:07:24.018
5295,7702,Entire home/apt,Manhattan,Upper West Side,29,4.5,2,1.0,174.0,2.0,40.803158,-73.965446,2015-02-28 13:30:57.451
5441,7989,Private room,Manhattan,Hell's Kitchen,57,5.0,2,1.0,173.0,3.0,40.76076,-73.988667,2015-02-28 03:15:40.593
5489,8178,Entire home/apt,Brooklyn,South Slope,191,4.5,4,2.0,187.0,1.0,40.669349,-73.987054,2015-02-28 07:36:12.110
5552,8380,Entire home/apt,Manhattan,West Village,49,5.0,2,1.0,251.0,1.0,40.736491,-74.010575,2015-02-28 13:36:12.869
5803,9744,Private room,Brooklyn,South Slope,111,4.5,2,1.0,118.0,4.0,40.66829,-73.987791,2015-02-28 13:07:52.792
5818,2845,Private room,Manhattan,Hell's Kitchen,43,4.5,2,1.0,251.0,1.0,40.765304,-73.985214,2015-02-28 14:34:20.803
5862,2845,Entire home/apt,Manhattan,Hell's Kitchen,31,4.5,5,2.0,483.0,1.0,40.767376,-73.986467,2015-02-28 18:39:31.888
5945,4267,Private room,Manhattan,Upper West Side,61,4.5,2,1.0,154.0,1.0,40.791046,-73.974345,2015-02-28 02:30:37.269
5947,10889,Entire home/apt,Brooklyn,Williamsburg,112,4.5,4,2.0,321.0,2.0,40.719935,-73.961969,2015-02-28 02:42:12.103
6011,11481,Entire home/apt,Brooklyn,Gowanus,102,4.5,4,1.0,212.0,3.0,40.671404,-73.992322,2015-02-28 08:32:39.917
6103,5871,Entire home/apt,Brooklyn,Crown Heights,7,4.5,6,2.0,232.0,4.0,40.674522,-73.941096,2015-02-28 17:16:00.643
6111,12169,Private room,Brooklyn,Greenpoint,87,4.5,2,1.0,122.0,2.0,40.719211,-73.951231,2015-02-28 18:00:18.849
6171,12712,Entire home/apt,Manhattan,Lower East Side,133,4.5,3,1.0,128.0,1.0,40.720735,-73.982107,2015-02-27 23:50:43.492
6177,2845,Private room,Manhattan,Hell's Kitchen,3,4.5,2,1.0,289.0,1.0,40.765062,-73.986386,2015-02-28 00:22:50.170
6416,13908,Entire home/apt,Manhattan,Upper West Side,12,3.5,6,2.0,192.0,5.0,40.800333,-73.959039,2015-02-27 22:50:03.548
