room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8467177,19406866,Private room,Manhattan,Chinatown,0,,4.0,1.0,450.0,1.0,40.716248,-73.994386,2015-10-17 06:10:40.875560
8500985,32982857,Private room,Manhattan,Lower East Side,1,5.0,2.0,1.0,85.0,1.0,40.719381,-73.990041,2015-10-16 07:52:14.789182
8635347,5341236,Private room,Queens,Long Island City,0,,2.0,1.0,115.0,4.0,40.749963,-73.948395,2015-10-15 22:47:43.427201
8760775,45941254,Private room,Manhattan,Murray Hill,0,,1.0,1.0,111.0,1.0,40.7494,-73.978226,2015-10-15 05:20:17.608319
8665511,45513213,Private room,Queens,Long Island City,0,,1.0,1.0,100.0,1.0,40.745018,-73.955336,2015-10-14 03:52:49.333628
8674399,40550582,Private room,Manhattan,Lower East Side,0,,2.0,1.0,65.0,5.0,40.710716,-73.987602,2015-10-14 19:59:17.110161
8440352,7137049,Private room,Manhattan,Lower East Side,2,3.0,2.0,1.0,70.0,1.0,40.713627,-73.98775,2015-10-16 20:09:39.633946
8781957,4107689,Private room,Manhattan,Lower East Side,1,4.0,2.0,1.0,90.0,1.0,40.720164,-73.98557,2015-10-15 11:02:41.736512
8760284,1600368,Private room,Manhattan,Lower East Side,0,,2.0,1.0,100.0,1.0,40.71197,-73.989822,2015-10-17 22:41:30.993841
8750374,45895567,Private room,Manhattan,Lower East Side,0,,2.0,1.0,160.0,1.0,40.719682,-73.985956,2015-10-15 14:32:53.231601
5712004,4713128,Private room,Manhattan,Lower East Side,0,,1.0,1.0,90.0,1.0,40.719787,-73.983715,2015-10-17 02:04:20.553669
8578889,26221433,Private room,Manhattan,Lower East Side,1,5.0,2.0,1.0,100.0,2.0,40.720447,-73.984211,2015-10-17 13:10:08.601546
5837828,30306938,Private room,Manhattan,Chinatown,0,,1.0,1.0,119.0,1.0,40.717651,-73.993658,2015-10-15 01:38:07.881079
8428504,22304088,Private room,Manhattan,Lower East Side,0,,5.0,1.0,175.0,1.0,40.721784,-73.990674,2015-10-14 04:22:50.076687
8521698,290503,Private room,Manhattan,Lower East Side,0,,2.0,1.0,150.0,1.0,40.717253,-73.988667,2015-10-16 11:44:39.781017
3198114,16042767,Private room,Manhattan,Murray Hill,0,,2.0,1.0,100.0,14.0,40.747882,-73.971541,2015-10-16 09:23:54.735254
8830786,9325123,Private room,Manhattan,Midtown,0,,5.0,1.0,275.0,1.0,40.763176,-73.976343,2015-10-15 04:58:27.206392
8410004,44301811,Private room,Manhattan,Midtown,0,,1.0,1.0,90.0,3.0,40.755317,-73.973124,2015-10-16 00:06:35.050544
8443475,39773490,Private room,Manhattan,Midtown,0,,2.0,1.0,120.0,2.0,40.748462,-73.988242,2015-10-13 22:29:39.965458
8503392,5032943,Private room,Manhattan,Midtown,0,,2.0,1.0,180.0,15.0,40.75768,-73.96797,2015-10-16 22:03:10.153202
6958021,3922069,Private room,Manhattan,Murray Hill,1,4.0,2.0,1.0,260.0,1.0,40.749473,-73.972401,2015-10-17 02:05:34.124907
8600803,3324577,Private room,Manhattan,Midtown,3,4.5,2.0,1.0,139.0,1.0,40.760542,-73.969039,2015-10-17 22:23:31.532046
373783,1880485,Private room,Manhattan,Murray Hill,1,5.0,2.0,1.0,150.0,1.0,40.747863,-73.971148,2015-10-16 17:09:24.419363
