room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
269404,1411399,Private room,Queens,Astoria,18,4.5,2.0,1.0,2492.0,30.0,40.766842,-73.912114,2015-08-10 21:44:27.340600
2451438,10193030,Private room,Manhattan,Harlem,2,5.0,2.0,1.0,85.0,3.0,40.82349,-73.941929,2015-08-10 21:44:27.340600
2905768,12095101,Entire home/apt,Manhattan,Hell's Kitchen,2,4.5,2.0,1.0,140.0,20.0,40.763632,-73.99309,2015-08-10 21:44:27.340600
1624665,8638841,Private room,Brooklyn,Williamsburg,24,5.0,1.0,1.0,80.0,3.0,40.705528,-73.92726,2015-08-10 21:44:27.340600
3542044,17830235,Entire home/apt,Brooklyn,Williamsburg,14,4.5,4.0,2.0,299.0,3.0,40.717866,-73.948418,2015-08-10 21:44:27.340600
589089,335272,Private room,Brooklyn,Prospect Heights,99,5.0,2.0,1.0,96.0,1.0,40.680447,-73.974582,2015-08-10 21:44:27.340600
264017,1385139,Entire home/apt,Manhattan,Nolita,7,4.5,3.0,2.0,250.0,4.0,40.724121,-73.993783,2015-08-10 21:44:27.340600
3190765,4844197,Private room,Brooklyn,Williamsburg,7,4.5,2.0,1.0,100.0,2.0,40.714187,-73.964046,2015-08-10 21:44:27.340600
215172,5926,Private room,Manhattan,Harlem,33,4.0,3.0,1.0,70.0,3.0,40.826755,-73.948135,2015-08-10 21:44:27.340600
2091991,10362675,Entire home/apt,Manhattan,East Village,5,5.0,2.0,1.0,199.0,2.0,40.732165,-73.987846,2015-08-10 21:44:27.340600
2268888,11424459,Entire home/apt,Manhattan,Washington Heights,0,,2.0,1.0,550.0,1.0,40.854889,-73.936137,2015-08-10 21:44:27.340600
163836,32169,Private room,Brooklyn,Greenpoint,50,4.5,3.0,1.0,70.0,3.0,40.721849,-73.939564,2015-08-10 21:44:27.340600
1555500,8281201,Private room,Brooklyn,Williamsburg,19,5.0,2.0,1.0,110.0,1.0,40.717143,-73.953037,2015-08-10 21:44:27.340600
80493,434987,Private room,Manhattan,Lower East Side,99,4.5,2.0,1.0,85.0,4.0,40.721817,-73.985676,2015-08-10 21:44:27.340600
1785723,2161832,Private room,Brooklyn,Williamsburg,5,5.0,2.0,1.0,95.0,2.0,40.706937,-73.930201,2015-08-10 21:44:27.340600
628100,2162167,Entire home/apt,Brooklyn,Williamsburg,8,4.5,,2.0,275.0,2.0,40.713224,-73.96684,2015-08-10 21:44:27.340600
3603287,146825,Private room,Manhattan,Nolita,0,,1.0,1.0,100.0,10.0,40.721002,-73.994308,2015-08-10 21:44:27.340600
2170383,11071989,Entire home/apt,Brooklyn,Williamsburg,20,5.0,2.0,1.0,129.0,2.0,40.71277,-73.950816,2015-08-10 21:44:27.340600
5188840,26377263,Private room,Queens,Far Rockaway,0,,2.0,1.0,40.0,7.0,40.596419,-73.756064,2015-08-10 21:44:27.340600
3654480,4406121,Entire home/apt,Manhattan,Lower East Side,4,4.5,4.0,2.0,325.0,3.0,40.719634,-73.981546,2015-08-10 21:44:27.340600
1441931,847519,Entire home/apt,Brooklyn,Fort Greene,16,4.5,3.0,0.0,168.0,2.0,40.688962,-73.976736,2015-08-10 21:44:27.340600
222302,825127,Entire home/apt,Manhattan,Upper West Side,15,5.0,4.0,1.0,248.0,2.0,40.789606,-73.970276,2015-08-10 21:44:27.340600
2595,2845,Entire home/apt,Manhattan,Midtown,17,5.0,2.0,0.0,285.0,1.0,40.753621,-73.983774,2015-08-10 21:44:27.340600
4881015,25110631,Entire home/apt,Manhattan,Chinatown,32,4.0,4.0,1.0,120.0,1.0,40.716458,-73.993075,2015-08-10 21:44:27.340600
2228296,11371978,Entire home/apt,Manhattan,Midtown,0,,2.0,0.0,750.0,4.0,40.76402,-73.9777,2015-08-10 21:44:27.340600
3802306,19533079,Private room,Manhattan,Harlem,9,4.5,2.0,1.0,95.0,1.0,40.799187,-73.950597,2015-08-10 21:44:27.340600
3789000,19447692,Entire home/apt,Manhattan,Harlem,27,4.5,5.0,1.0,120.0,3.0,40.81545,-73.936437,2015-08-10 21:44:27.340600
3405713,764645,Entire home/apt,Manhattan,Washington Heights,5,5.0,2.0,1.0,125.0,2.0,40.855004,-73.937631,2015-08-10 21:44:27.340600
