room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,174.0,1,40.762099,-73.996022,2014-12-03 12:58:59.578
2515,2758,Private room,Manhattan,Harlem,106,4.5,2,1.0,69.0,2,40.799205,-73.953676,2014-12-04 02:53:51.833
2684,2965,Private room,Manhattan,Upper West Side,3,5.0,2,1.0,152.0,1,40.792353,-73.967807,2014-12-03 19:36:20.383
2993,3352,Entire home/apt,Manhattan,Lower East Side,2,4.5,2,1.0,175.0,5,40.723593,-73.991188,2014-12-04 00:08:21.539
3330,4177,Private room,Brooklyn,Williamsburg,11,5.0,2,1.0,152.0,3,40.708558,-73.942362,2014-12-03 04:18:01.520
3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,47,4.5,3,1.0,104.0,1,40.6783,-73.944627,2014-12-03 12:47:52.616
3831,4869,Private room,Brooklyn,Clinton Hill,4,4.5,3,1.0,117.0,1,40.685138,-73.959757,2014-12-04 05:49:27.529
4573,5871,Entire home/apt,Brooklyn,Crown Heights,5,5.0,6,2.0,211.0,3,40.674376,-73.93399,2014-12-04 03:42:36.846
4611,5926,Private room,Manhattan,Harlem,64,4.5,1,1.0,65.0,3,40.824861,-73.949982,2014-12-03 04:22:35.240
4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3,1.0,234.0,2,40.7626,-73.993045,2014-12-03 19:41:24.512
5044,7222,Entire home/apt,Manhattan,East Village,30,5.0,4,1.0,205.0,3,40.726353,-73.989371,2014-12-04 00:24:16.235
5079,7286,Entire home/apt,Manhattan,Harlem,164,5.0,4,2.0,269.0,3,40.813613,-73.945896,2014-12-04 03:14:18.668
5099,7322,Entire home/apt,Manhattan,Murray Hill,40,4.5,2,1.0,235.0,3,40.747714,-73.975149,2014-12-04 04:52:34.736
5107,7332,Entire home/apt,Brooklyn,Bedford-Stuyvesant,45,5.0,8,2.0,293.0,3,40.69299,-73.957232,2014-12-04 05:29:46.424
5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2,1.0,202.0,3,40.713942,-73.981839,2014-12-04 05:45:13.787
5135,7380,Private room,Manhattan,Harlem,211,5.0,4,1.0,104.0,1,40.818028,-73.947449,2014-12-03 05:18:44.438
5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,291.0,4,40.661197,-73.994227,2014-12-03 05:23:00.675
5172,7386,Entire home/apt,Manhattan,Murray Hill,41,4.5,2,1.0,151.0,5,40.744958,-73.974201,2014-12-03 08:21:15.757
5178,8967,Private room,Manhattan,Midtown,204,4.5,2,1.0,85.0,1,40.764681,-73.983154,2014-12-03 08:50:57.857
5216,7510,Entire home/apt,Manhattan,Flatiron District,28,4.0,4,2.0,222.0,2,40.743572,-73.989987,2014-12-03 12:14:23.707
5222,7516,Entire home/apt,Manhattan,East Village,92,5.0,2,1.0,105.0,4,40.727637,-73.979488,2014-12-03 12:43:18.032
5238,7549,Entire home/apt,Manhattan,Chinatown,90,4.5,3,1.0,170.0,1,40.713444,-73.990375,2014-12-03 19:05:36.717
5258,7611,Entire home/apt,Brooklyn,Williamsburg,44,5.0,2,1.0,158.0,2,40.710302,-73.964961,2014-12-03 20:46:17.215
5270,7626,Entire home/apt,Manhattan,Lower East Side,125,4.5,3,1.0,117.0,2,40.717605,-73.986643,2014-12-03 21:52:53.323
5295,7702,Entire home/apt,Manhattan,Upper West Side,28,4.5,2,1.0,158.0,2,40.803158,-73.965446,2014-12-03 23:58:19.028
5441,7989,Private room,Manhattan,Hell's Kitchen,54,5.0,2,1.0,158.0,3,40.76076,-73.988667,2014-12-03 09:28:06.749
5489,8178,Entire home/apt,Brooklyn,South Slope,183,4.5,4,2.0,170.0,1,40.669349,-73.987054,2014-12-03 18:40:00.800
5552,8380,Entire home/apt,Manhattan,West Village,48,5.0,2,1.0,228.0,1,40.736491,-74.010575,2014-12-04 00:02:38.167
5803,9744,Private room,Brooklyn,South Slope,108,4.5,2,1.0,108.0,4,40.66829,-73.987791,2014-12-03 23:39:22.577
