room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,167.0,1,40.762099,-73.996022,2014-05-12 08:56:52.946
2515,2758,Private room,Manhattan,Harlem,95,4.5,2,1.0,55.0,2,40.799205,-73.953676,2014-05-12 18:11:09.122
2993,3352,Entire home/apt,Manhattan,Lower East Side,0,,2,1.0,168.0,5,40.723593,-73.991188,2014-05-12 15:16:46.188
3046,2758,Entire home/apt,Manhattan,Harlem,10,4.5,6,1.0,298.0,3,40.813498,-73.945873,2014-05-12 19:47:22.038
3101,2758,Private room,Manhattan,Harlem,11,4.5,2,1.0,140.0,2,40.813628,-73.946299,2014-05-12 00:57:13.100
3102,2758,Private room,Manhattan,Harlem,23,5.0,4,1.0,212.0,2,40.8141,-73.945891,2014-05-12 01:03:09.110
3153,3690,Private room,Queens,Astoria,33,5.0,2,1.0,112.0,1,40.759736,-73.906151,2014-05-12 05:13:53.328
3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,43,4.5,3,,100.0,7,40.6783,-73.944627,2014-05-12 08:45:14.766
3831,4869,Private room,Brooklyn,Clinton Hill,0,,3,1.0,112.0,1,40.685138,-73.959757,2014-05-12 21:15:38.208
4573,5871,Entire home/apt,Brooklyn,Crown Heights,3,4.0,6,2.0,202.0,3,40.674376,-73.93399,2014-05-12 19:01:16.331
5030,7201,Entire home/apt,Manhattan,Upper East Side,90,4.5,4,1.0,129.0,2,40.781098,-73.952188,2014-05-12 14:19:18.050
5044,7222,Entire home/apt,Manhattan,East Village,17,5.0,4,1.0,196.0,3,40.726353,-73.989371,2014-05-12 15:32:48.302
5053,7230,Entire home/apt,Manhattan,Upper East Side,129,4.5,4,1.0,168.0,4,40.780267,-73.950638,2014-05-12 16:16:44.727
5054,7231,Entire home/apt,Manhattan,Hell's Kitchen,44,4.5,2,1.0,168.0,1,40.765509,-73.986313,2014-05-12 16:21:24.615
5079,7286,Entire home/apt,Manhattan,Harlem,149,5.0,4,2.0,258.0,3,40.813613,-73.945896,2014-05-12 18:31:44.881
5099,7322,Entire home/apt,Manhattan,Murray Hill,31,4.5,2,1.0,225.0,2,40.747714,-73.975149,2014-05-12 20:14:06.985
5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,36,4.5,2,1.0,56.0,2,40.686882,-73.955957,2014-05-11 09:11:09.556
5135,7380,Private room,Manhattan,Harlem,176,4.5,4,1.0,100.0,1,40.815396,-73.945046,2014-05-11 23:45:29.326
5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,280.0,4,40.661197,-73.994227,2014-05-11 23:50:59.111
5145,7402,Entire home/apt,Manhattan,East Village,8,4.5,6,2.0,410.0,1,40.724583,-73.979907,2014-05-12 00:37:12.629
5172,7386,Entire home/apt,Manhattan,Murray Hill,38,4.5,2,1.0,145.0,5,40.744958,-73.974201,2014-05-12 02:51:53.425
5178,8967,Private room,Manhattan,Midtown,172,4.5,2,1.0,82.0,1,40.764681,-73.983154,2014-05-12 03:20:32.601
5203,7490,Private room,Manhattan,Upper West Side,79,5.0,1,1.0,90.0,1,40.801779,-73.967229,2014-05-12 07:06:55.177
5216,7510,Entire home/apt,Manhattan,Flatiron District,27,4.0,4,,213.0,2,40.743572,-73.989987,2014-05-12 08:13:00.378
5222,7516,Entire home/apt,Manhattan,East Village,86,4.5,2,1.0,185.0,2,40.727103,-73.980679,2014-05-12 08:41:16.720
5238,7549,Entire home/apt,Manhattan,Chinatown,75,4.5,3,1.0,163.0,1,40.713444,-73.990375,2014-05-12 10:06:33.982
5270,7626,Entire home/apt,Manhattan,Lower East Side,102,4.5,3,1.0,112.0,3,40.717605,-73.986643,2014-05-12 12:52:58.513
5295,7702,Entire home/apt,Manhattan,Upper West Side,24,5.0,2,1.0,152.0,2,40.803158,-73.965446,2014-05-12 15:05:57.651
5316,7746,Private room,Manhattan,Tribeca,4,4.5,1,1.0,101.0,2,40.719354,-74.009209,2014-05-12 16:53:04.256
5489,8178,Entire home/apt,Brooklyn,South Slope,156,4.5,4,2.0,163.0,1,40.669349,-73.987054,2014-05-12 09:41:13.196
5510,7402,Entire home/apt,Manhattan,East Village,17,4.5,5,1.0,275.0,3,40.724628,-73.980338,2014-05-12 11:27:12.881
5552,8380,Entire home/apt,Manhattan,West Village,45,5.0,2,1.0,241.0,1,40.736491,-74.010575,2014-05-12 15:11:04.610
5743,9325,Entire home/apt,Manhattan,Hell's Kitchen,125,5.0,2,,191.0,2,40.760857,-73.991691,2014-05-12 09:30:13.576
5803,9744,Private room,Brooklyn,South Slope,95,5.0,2,1.0,103.0,4,40.66829,-73.987791,2014-05-12 14:46:17.033
5818,2845,Private room,Manhattan,Hell's Kitchen,43,4.5,2,1.0,219.0,3,40.763927,-73.987877,2014-05-12 16:02:25.900
5862,2845,Entire home/apt,Manhattan,Hell's Kitchen,19,5.0,5,2.0,505.0,2,40.769005,-73.990533,2014-05-12 19:47:41.151
5945,4267,Private room,Manhattan,Upper West Side,56,4.5,2,1.0,140.0,1,40.791046,-73.974345,2014-05-12 03:16:06.305
5947,10889,Entire home/apt,Brooklyn,Williamsburg,87,5.0,4,2.0,281.0,2,40.719935,-73.961969,2014-05-12 03:25:24.726
